6887.2357	37.657	19309	4627	36.5
6887.1727	37.539	1193510	4626	73.6
1635.4341	37.152	23132	4610	37.2
4424.2132	37.091	27721	4609	44.7
6588.1213	37.081	323243	4608	60
6558.153	37.078	57550	4607	35.9
6559.1211	37.051	122835	4603	51.9
856.3271	37.044	52183	4602	40.1
4692.8264	36.906	47278	4601	55.6
6424.0637	36.758	34447	4598	44.3
6558.1157	36.751	16787962	4597	100
6581.0943	36.746	593801	4596	100
6580.1033	36.745	1257830	4595	80
6575.1094	36.732	76105	4594	48.5
6574.1047	36.729	64596	4593	45.5
5004.4147	36.66	111368	4592	64.9
4018.7313	36.659	92897	4591	43
3127.5254	36.632	51080	4590	57.5
3126.5601	36.614	265392	4589	80
3127.0321	36.607	74678	4588	77.6
6253.0697	36.605	181155	4587	69.9
2085.6933	36.6	61884	4585	80
6238.0838	36.541	89737	4578	60
3290.5578	36.517	31117	4577	56.2
6575.1081	36.428	176151	4570	60
6574.1113	36.426	1890715	4569	80
6597.0787	36.417	125946	4567	60
6559.1061	36.403	95938	4566	49.1
1311.6277	36.394	114653	4565	65.4
6558.1266	36.394	676269	4564	60
3281.0612	36.385	175947	4562	81.4
3835.6491	36.239	80867	4557	60
6544.1101	36.202	672814	4014	79.1
4344.0431	36.181	43042	4553	60
1311.8259	36.171	41508	4552	35.3
3604.604	36.139	57060	4551	60
2409.0723	36.088	18129	4549	34
6215.0412	36.088	860704	4550	80
6216.0457	36.079	175250	4548	60
1315.2245	36.032	11404	4547	47.9
870.2803	35.836	221262	4544	64.8
848.2983	35.822	525364	4542	80
826.3164	35.809	2645323	4541	100
4803.858	35.792	50972	4540	39.9
5661.8921	35.735	22493	4538	32.7
6215.0444	35.718	25227	4532	42.2
5320.9137	35.696	426510	4531	100
5342.8992	35.694	139411	4530	80
5364.8727	35.692	48855	4529	69.1
4993.9037	35.691	200689	4527	60
5298.9333	35.691	4083332	4528	100
3090.1832	35.676	8240	4526	31.6
2398.9808	35.671	18854	4524	31.8
2955.0031	35.667	43803	4523	54
3954.9203	35.663	28358	4522	53.8
1868.6618	35.662	17656	4521	32.2
5933.0022	35.649	157328	4520	80
5953.9745	35.646	57692	4519	80
5910.0206	35.639	98526	4518	73.7
5909.0178	35.637	2429322	4517	93.6
5906.0183	35.636	179177	4516	60
5933.9673	35.624	38479	4515	51.1
2802.4885	35.506	38146	4501	45.6
4993.8992	35.504	307359	4497	67.6
5603.9769	35.502	2292626	4495	95.5
1477.7544	35.501	26222	4493	32
5627.9522	35.501	160811	4494	80
5604.9758	35.499	54128	4489	73
5647.9372	35.499	51869	4488	76.3
6184.3636	35.493	338663	4486	61.3
6183.8596	35.489	372086	4485	68.5
2463.3406	35.372	29680	4481	33.2
2572.8632	35.372	141222	4482	41.1
5314.9212	35.352	307571	4474	56.1
2577.7867	35.35	19095	4473	34.8
6414.7596	35.343	90102	4471	48.2
