5924.7535	25.268	104745696	3554	0.246	100
376.1479	29.756	78665752	3968	0.515	100
4963.6167	23.11	19445698	3260	0.251	100
5946.731	25.27	18191964	3555	0.267	100
5998.7854	24.132	13667054	3405	0.236	100
2379.2611	7.664	13653044	1754	0.187	100
2685.2874	9.948	13651928	1990	0.196	100
4289.5141	20.432	13067020	2968	0.268	100
6146.9082	30.061	12938074	4005	0.185	100
3257.4608	15.842	11940480	2495	0.25	100
2073.2377	4.8	11078570	1525	0.202	100
4282.6476	23.391	11059167	3289	0.183	100
3984.4711	19.33	10498687	2846	0.179	100
3563.4859	15.495	10204525	2477	0.256	100
3869.5119	17.022	9685695	2629	0.247	100
4618.5661	22.24	9336602	3151	0.246	97.7
622.1266	0.809	9279409	591	0.085	96.7
5299.8175	28.115	9137581	3789	0.171	100
5511.8281	28.449	9044373	3840	0.177	100
4970.7632	26.996	8957192	3682	0.178	100
5749.802	24.82	8587342	3484	0.229	100
3014.3399	13.244	8446589	2279	0.232	100
5579.6992	24.454	7740033	3450	0.205	100
2928.4079	11.157	7256662	2086	0.256	100
5840.8796	29.718	7213450	3952	0.183	100
5445.763	24.093	6947917	3394	0.264	100
3328.5102	17.647	6892234	2691	0.232	100
6771.9918	31.161	6802824	4066	0.188	100
1767.2105	2.512	6646248	1225	0.228	100
4504.5924	21.446	6601622	3060	0.237	93.8
6465.9647	30.688	6445803	4043	0.22	100
3678.4462	17.883	6427287	2704	0.174	100
2654.4101	12.749	6309574	2221	0.361	96.3
5271.6368	23.792	6241383	3359	0.215	80
12003.6973	35.531	6123452	4508	0.266	80
2264.3032	3.171	6113936	1325	0.348	100
4849.6425	21.778	5849802	3098	0.228	100
6491.9586	30.192	5553816	4012	0.182	100
774.2795	29.762	5475762	3972	0.388	100
2983.4617	16.073	5462129	2522	0.306	100
3373.3974	16.657	5400820	2596	0.191	100
362.1324	9.558	5310894	1964	0.281	100
5444.7623	24.061	5264898	3387	0.223	100
3026.6061	29.745	5263366	3961	0.23	100
3990.7364	34.122	4968527	4281	0.235	100
2415.5392	28.436	4919858	3837	0.246	100
1765.4505	29.311	4875476	3910	0.254	100
566.1307	29.765	4795114	3974	0.599	100
4664.8388	34.606	4756748	4346	0.201	100
5499.7318	23.048	4618304	3249	0.246	100
2569.3446	6.113	4521170	1612	0.296	100
5644.864	28.323	4503560	3824	0.178	100
4175.5382	18.576	4437015	2787	0.23	100
4627.6939	23.866	4424554	3367	0.166	100
2720.5806	28.781	4403013	3864	0.233	100
644.1066	0.807	4368024	587	0.156	100
11353.6241	35.183	4303300	4434	0.22	80
4985.5939	23.111	4236132	3261	0.234	99
3661.6854	32.93	4226311	4179	0.207	100
3657.5632	19.875	4203490	2919	0.213	100
5315.8122	27.254	4051158	3698	0.172	100
403.988	5.7	3956183	1583	0.248	48.4
5856.8744	28.641	3919466	3855	0.168	100
3678.4439	18.15	3858582	2746	0.188	100
5968.7129	25.279	3790791	3561	0.313	99
606.1596	0.837	3748805	608	0.104	100
1653.2376	1.054	3719815	994	0.089	100
9731.41	34.135	3700286	4292	0.196	80
3332.6311	30.654	3654432	4036	0.219	100
660.0738	0.773	3528716	546	0.095	100
2999.4574	14.157	3482333	2369	0.387	80
7117.0401	31.251	3468612	4072	0.2	93.8
3673.5574	18.536	3451573	2778	0.21	100
8136.1981	33.016	3437631	4187	0.177	92
5194.6888	22.407	3348561	3164	0.239	96.2
9425.3892	33.961	3341188	4272	0.206	80
3549.5082	16.863	3315634	2612	0.204	100
7117.0455	31.636	3229233	4102	0.191	96.7
967.0076	0.737	3215471	493	0.185	100
4160.5756	19.635	3204308	2894	0.256	100
1911.2775	3.074	3191970	1309	0.438	80
8801.2888	33.439	3178250	4220	0.182	80
6811.0004	30.776	3177005	4051	0.224	100
9106.3319	33.677	3146668	4235	0.205	80
2349.3682	10.309	3120462	2016	0.186	100
2915.3648	10.586	3108932	2050	0.236	100
3551.49	16.4	3086316	2561	0.301	92.9
6269.8003	25.98	3057757	3604	0.229	99
3855.5333	18.434	2930891	2769	0.181	100
352.0181	0.741	2860552	497	0.054	58.3
4335.7879	33.348	2855812	4203	0.196	100
10382.4798	34.582	2849708	4336	0.209	80
6787.9879	30.696	2846922	4046	0.189	85.6
7462.0865	32.049	2834683	4120	0.19	100
6185.9335	29.857	2827452	3985	0.196	100
956.9788	0.725	2808873	487	0.263	100
10076.4607	34.378	2776140	4318	0.191	80
398.1297	29.759	2754115	3970	0.515	97.3
10727.548	34.793	2740634	4363	0.208	80
3935.546	16.646	2700087	2590	0.219	100
2914.4293	12.186	2637544	2181	0.266	100
6113.8839	29.379	2620092	3922	0.192	95.3
3373.4012	16.178	2615270	2539	0.173	100
1131.3573	28.724	2536602	3859	0.302	100
4311.4966	20.432	2470064	2969	0.242	100
2290.2828	3.961	2464626	1429	0.357	94.7
628.1411	0.874	2397379	638	0.123	100
5193.7041	22.404	2362542	3160	0.224	80
2401.243	7.663	2339486	1753	0.18	100
7460.2403	32.061	2304767	4126	0.193	80
4969.8783	34.25	2303352	4307	0.19	100
1639.2106	1.034	2301078	957	0.123	100
5603.9769	35.502	2292626	4495	0.197	95.5
2349.3687	10.663	2282280	2056	0.275	100
5413.8476	27.483	2279889	3718	0.216	80
8495.2645	33.131	2251492	4191	0.185	80
7807.1332	32.101	2248564	4131	0.198	100
936.1976	0.821	2248256	599	0.095	100
7791.1394	32.735	2239278	4163	0.201	80
4490.6224	20.903	2226781	3012	0.233	97.7
5874.7783	23.641	2167527	3334	0.191	100
366.1037	29.763	2161099	3973	0.581	80
2095.2189	4.805	2152239	1529	0.209	100
7115.872	31.63	2151933	4097	0.193	80
5139.7161	23.421	2150906	3293	0.214	100
2707.2687	9.952	2103099	1993	0.207	100
3328.5092	17.123	2093050	2645	0.242	96.1
3220.4066	11.393	2082145	2109	0.225	100
7461.0194	31.698	2058977	4105	0.208	80
4185.5815	19.777	2046652	2913	0.255	100
2044.3269	8.858	2025885	1886	0.202	100
2265.2862	5.63	1976240	1576	0.383	83
1438.1583	1.01	1953624	895	0.079	86.7
4795.6657	21.339	1948738	3054	0.295	85.4
3885.4957	15.319	1940572	2464	0.276	95.7
1671.2489	1.112	1917190	1146	0.101	100
1623.2151	1.094	1913353	1127	0.12	100
4809.676	21.812	1910914	3107	0.241	80
352.0179	0.92	1906411	687	0.122	80
4002.6108	20.581	1901923	2984	0.209	100
4810.6652	21.807	1897897	3106	0.226	100
3856.529	17.789	1861064	2700	0.237	93.9
4798.7045	26.628	1859217	3646	0.171	100
2875.418	16.915	1853470	2620	0.287	100
5100.7052	22.191	1847174	3146	0.224	80
5771.7886	24.837	1841588	3493	0.221	100
1928.2566	3.94	1839049	1420	0.371	90.3
4505.6188	20.904	1832743	3013	0.178	83.9
5224.6863	21.762	1828527	3091	0.181	100
3243.4819	15.075	1825587	2446	0.253	91.5
4640.546	22.243	1814074	3154	0.216	98
2070.4898	27.904	1807879	3767	0.246	86.1
3983.4848	19.079	1801637	2817	0.151	100
4904.6446	19.764	1791176	2911	0.192	100
8136.1966	32.767	1790771	4168	0.183	80
2977.4123	8.603	1769485	1854	0.247	100
10076.4796	34.128	1752023	4286	0.219	80
8481.2345	33.037	1751219	4189	0.178	80
5460.7548	23.624	1748661	3324	0.229	80
